,size_y,beta_y,momentum_y,volatility_y,nlsize_y,value_y,liquidity_y,earnings_yield_y,growth_y,leverage_y,zx_petro_y,zx_coal_y,zx_metals_y,zx_power_y,zx_steel_y,zx_chemicals_y,zx_construct_eng_y,zx_construct_mat_y,zx_light_man_y,zx_machinery_y,zx_electr_equip_y,zx_defense_y,zx_automobiles_y,zx_retail_y,zx_hotels_lei_y,zx_household_dur_y,zx_textile_y,zx_medical_y,zx_food_bev_y,zx_agriculture_y,zx_banks_y,zx_real_estate_y,zx_transportation_y,zx_electronic_comp_y,zx_communication_y,zx_computers_y,zx_media_y,zx_compre_y,zx_securites_y,zx_insurance_y,zx_diversified_fin_y
006302.OF,-0.4837931253518649,0.589263755765298,-0.04059949929135065,-0.01179269802498151,0.197794586488671,-0.2612798666706863,-0.02193337520627736,-0.0486133727020962,-0.03768826168811912,-0.166558519283609,0.005426098730302975,0.0,0.06179357765043192,0.0,0.0,-0.03347021656587468,0.0,0.002948101554629323,0.0,-0.007523434230755965,0.1982143346823793,0.0,-0.003132494946371911,0.0,0.03673412845750756,0.003958000050900967,0.0,0.02878907685129795,0.0875295648701444,-0.02411019850343676,-0.006159676923836233,-0.06427670052924517,0.0,0.03879302973805432,0.0,-0.01090278452296012,-0.05955782486308736,0.0,-0.03089801117783197,-0.08524952016348797,0.0
014488.OF,-0.1009977019249259,0.08342782353809475,-0.05415958312571612,-0.1082260000566099,0.00500608297370686,-0.1289298348487534,-0.3282456983990614,0.02773210387004288,-0.09877120103854298,-0.02074374431056292,0.0,0.0,-0.06762980472433722,-0.004128663859325643,-0.01936604940047848,-0.08953942326294095,0.0,0.0,0.0,0.001768697668714347,0.01535846849235556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001538.OF,-0.4774025213731271,0.6166955903085536,0.1893369091245998,-0.1281653647516315,0.236480009626642,-0.3050290048799356,-0.2115661732720245,-0.1196109761889207,-0.04961122000433438,-0.112165260652682,-0.01961153816654171,0.0,-0.003122102999556509,-0.04222876244075191,0.0,-0.03349292724427722,0.0,0.0,0.0,0.01462441987168783,0.4680596532524122,0.007621793675273825,0.001292134497577591,0.0,-0.06241377883248189,0.01513480223864949,0.0,-0.01977540226996577,-0.05373106521702642,0.0003898049127293302,0.0,0.0,0.0,0.07300767749410575,0.04053081426926597,-0.09286891411779608,0.0,0.0,0.0,0.0,0.0
007861.OF,0.06634307658020089,0.01137513104980559,-0.01962452755687494,-0.2753947674815533,-0.082938669180322,-0.1281293271914465,-0.1408187817686752,-0.1036664835192574,-0.008303719406833054,-0.03195378895492795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3395303792015798,0.01987063400574685,0.01177967373286704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009646.OF,-0.3348845671493607,0.4552540950784933,0.1649810521899968,-0.1530860549420457,0.09835254970895191,-0.2391983249076761,-0.2217478668402834,-0.06684520239651981,-0.005320591443915612,-0.05810698781987123,0.0,0.0,0.02119710798897101,0.0,0.0,-0.008857627345796093,0.0,0.0,0.0,0.007840262268842046,0.2185612406383901,0.01888774805550386,0.05121754854666416,0.0,-0.05017327315260145,0.0,0.0,-0.02232455567673508,-0.001632235767549561,0.0,0.0,0.0,0.001583195025125272,-0.1236145576500941,0.02363727986379494,0.02014764637345778,-0.0333724032852486,0.0,-0.04122959136996762,0.0,0.0
014878.OF,-0.1396944086925669,0.002564775435408562,0.1429417681582921,-0.1699306650555756,0.02430443421984219,-0.1583853785235992,-0.1572227313436707,-0.04535394275922422,-0.05054244120253737,0.03004769366362225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08321760853372928,0.0,0.0,0.0,-0.06828837946969779,0.0,0.0,0.01823295510494272,-0.1155360190917626,0.009979179581669273,0.0,0.0,-0.01603076390838809,0.01118677806703383,0.0146808799063507,-0.001434173662399063,0.0,0.0,0.0,0.0,0.0
011169.OF,-0.455718717029331,-0.1517183843705285,-0.0696125567764252,0.01402613993175295,0.1591838978036721,-0.04618989297935272,0.220039561052886,0.00953544516764726,-0.006797344964501795,-0.007701263831830896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01440061256390823,0.08951858620131747,0.0,-0.008651993446175066,0.0,0.0,-0.05020617328441535,0.0,0.0,-0.05817523079210629,0.0,-0.07939775433291885,-0.1533615358638214,0.0,-0.01480583630533572,0.08454374676349108,0.05371499866757601,0.0,0.0,0.0,0.0,0.0
011013.OF,-0.3981289155164593,0.0848537976501964,-0.0903885344864851,-0.00514894406832167,0.1509072526567363,-0.1439023911349954,0.0368157755581715,-0.0917744209277912,-0.01247412683886251,-0.03173990412955563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01170817797468982,0.0,0.0,0.04936895624802329,-0.02002485341526672,0.0,0.0,0.0,0.0,0.01542683037595149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001072.OF,-0.2338557080558847,0.766847710702554,0.2243158343309679,-0.4051148004077461,0.04323129672112103,-0.3179524888517681,-0.4932345565491164,-0.1541653002951543,-0.02202488582834583,-0.130021020965191,0.0,0.0,0.03138995645679454,0.0,0.0,-0.01049413479656813,0.0,0.0,-0.02464839431741439,0.003959791476790819,0.1744576432734861,0.06779467082794266,-0.002018244419148663,0.0,-0.005043238060741029,0.0,0.0,0.0009668007325582817,0.02429207174288983,0.0,0.0,0.0,0.0,0.08338414885739698,0.04317790582776748,0.3375655177870445,0.03149428074235927,-0.005024809444344691,0.0,0.0,0.0
010299.OF,-0.4516125588915439,0.6689006687124555,0.01027617788184543,-0.1500572819386899,0.0853318653336943,-0.2542931451161123,-0.09013431283573581,-0.02507709995990282,-0.01345256014211937,-0.04319573249155906,0.002272896990522355,0.02614038687821152,0.003994394720047811,0.01947287832543321,0.0,-0.007358861639148895,0.0,-0.01430436949286784,0.0,0.01195894376585183,0.0690174519598361,0.02193595019133188,0.0,0.0,-0.087041609066971,0.0,0.0,-0.09971831003064247,-0.09389841844739977,0.0,-0.008315086932306204,0.0,0.0,0.0,0.03401606676133739,0.0,0.0,-0.006248189468654686,-0.02395505763578154,0.0,0.0
